word,attacker,victim
business,461,98
email,355,140
contact,358,135
bank,446,37
money,444,28
account,416,40
urgent,373,77
transaction,398,46
$,387,49
time,189,240
address,326,102
reply,352,71
information,232,165
assistance,334,57
million,368,5
send,215,156
need,170,197
country,345,20
want,226,136
like,164,183
dollars,345,1
name,247,97
get,134,201
company,265,64
sent,130,196
thanks,110,211
transfer,294,25
number,194,124
response,235,82
soon,244,71
confidential,275,32
sum,304,1
message,76,229
foreign,294,6
private,286,12
proposal,254,32
help,164,120
fax,226,58
fund,265,10
best,149,121
immediately,228,33
sure,40,220
africa,255,3
family,183,69
assist,231,21
thank,73,173
interested,171,70
united,225,6
made,190,41
http,162,69
